ElementType,Label,Value,DeviceIdOrHostname,InterfaceName
DEVICE,mlag_peer_link,Port-Channel1,s1-leaf2
DEVICE,mlag_peer_link,Port-Channel1,s2-leaf1
DEVICE,mlag_peer_link,Port-Channel1,s2-leaf2
DEVICE,mlag_peer_link,Port-Channel1,s2-leaf3
DEVICE,mlag_peer_link,Port-Channel1,s2-leaf4
DEVICE,mlag_peer_link,Port-Channel1,s1-spine1
DEVICE,mlag_peer_link,Port-Channel1,s1-spine2
DEVICE,mlag_peer_link,Port-Channel1,s1-leaf1
DEVICE,DC-Pod,456
DEVICE,router_id,4.3.3.2,s2-spine2
DEVICE,router_id,4.3.4.4,s2-leaf4
DEVICE,router_id,4.3.4.3,s2-leaf3
DEVICE,router_id,4.3.4.1,s2-leaf1
DEVICE,router_id,4.3.2.1,s1-spine1
DEVICE,router_id,4.3.2.2,s1-spine2
DEVICE,router_id,4.3.4.2,s2-leaf2
DEVICE,router_id,4.3.3.1,s2-spine1
DEVICE,Network,Campus-Core,s1-brdr1
DEVICE,Network,Campus-Core,s2-core1
DEVICE,Network,Campus-Core,s2-spine1
DEVICE,Network,Campus-Core,s2-spine2
DEVICE,Network,Campus-Core,s1-core1
DEVICE,Network,Campus-Core,s1-spine1
DEVICE,Network,Campus-Core,s1-core2
DEVICE,Network,Campus-Core,s2-brdr1
DEVICE,Network,Campus-Core,s1-brdr2
DEVICE,Network,Campus-Core,s2-brdr2
DEVICE,Network,Campus-Core,s2-core2
DEVICE,Network,Campus-Core,s1-spine2
DEVICE,Vtep,True,s2-leaf1
DEVICE,Vtep,True,s2-leaf2
DEVICE,Vtep,True,s2-leaf3
DEVICE,Vtep,True,s2-leaf4
DEVICE,Vtep,True,s1-spine1
DEVICE,Vtep,True,s1-spine2
DEVICE,Vtep,True,s2-spine1
DEVICE,Vtep,True,s2-spine2
DEVICE,IDF,FLOOR3,s1-leaf3
DEVICE,IDF,FLOOR2,s2-leaf4
DEVICE,IDF,FLOOR2,s1-leaf3
DEVICE,IDF,FLOOR2,s2-leaf3
DEVICE,IDF,FLOOR1,s2-leaf2
DEVICE,IDF,FLOOR1,s1-host1
DEVICE,IDF,FLOOR1,s1-leaf1
DEVICE,IDF,FLOOR1,s1-leaf2
DEVICE,IDF,FLOOR1,s2-host1
DEVICE,IDF,FLOOR1,s2-leaf1
DEVICE,Edge-Router-Domain,Campus-Core,s2-brdr1
DEVICE,Edge-Router-Domain,Campus-Core,s2-spine2
DEVICE,Edge-Router-Domain,Campus-Core,s1-brdr1
DEVICE,Edge-Router-Domain,Campus-Core,s1-core1
DEVICE,Edge-Router-Domain,Campus-Core,s2-brdr2
DEVICE,Edge-Router-Domain,Campus-Core,s1-spine2
DEVICE,Edge-Router-Domain,Campus-Core,s1-brdr2
DEVICE,Edge-Router-Domain,Campus-Core,s2-core1
DEVICE,Edge-Router-Domain,Campus-Core,s1-spine1
DEVICE,Edge-Router-Domain,Campus-Core,s2-spine1
DEVICE,Edge-Router-Domain,Campus-Core,s1-core2
DEVICE,Edge-Router-Domain,Campus-Core,s2-core2
DEVICE,NetworkServices,L2,s2-leaf4
DEVICE,NetworkServices,L2,s2-spine1
DEVICE,NetworkServices,L2,s2-host1
DEVICE,NetworkServices,L2,s1-leaf1
DEVICE,NetworkServices,L2,s1-host1
DEVICE,NetworkServices,L2,s2-spine2
DEVICE,NetworkServices,L2,s2-leaf1
DEVICE,NetworkServices,L2,s1-leaf2
DEVICE,NetworkServices,L2,s1-spine2
DEVICE,NetworkServices,L2,s2-leaf3
DEVICE,NetworkServices,L2,s1-spine1
DEVICE,NetworkServices,L2,s1-leaf3
DEVICE,NetworkServices,L2,s2-leaf2
DEVICE,NetworkServices,L3,s2-leaf1
